Argument,In_Stability_Impact,Out_Stability_Impact
a77,1,1
a76,1,1
a79,1,1
a78,1,1
a82,1,1
a81,1,1
a84,1,1
a86,1,1
a85,1,1
a87,1,1
a89,1,1
a90,1,1
a94,1,1
a96,1,1
a11,1,1
a98,1,1
a13,1,1
a12,1,1
a17,1,1
a21,1,1
a23,1,1
a26,1,1
a25,1,1
a28,1,1
a29,1,1
a31,1,1
a32,1,1
a35,1,1
a34,1,1
a36,1,1
a40,1,1
a43,1,1
a45,1,1
a47,1,1
a49,1,1
a51,1,1
a50,1,1
a53,1,1
a54,1,1
a56,1,1
a62,1,1
a61,1,1
a64,1,1
a65,1,1
a68,1,1
a0,1,1
a4,1,1
a5,1,1
a8,1,1
a70,1,1
a75,1,1
a74,1,1
a88,1,1
a10,1,1
a15,1,1
a14,1,1
a20,1,1
a30,1,1
a37,1,1
a42,1,1
a52,1,1
a55,1,1
a59,1,1
a60,1,1
a69,1,1
a1,1,1
a2,1,1
a7,1,1
a9,1,1
a71,1,1
a73,1,1
a80,1,1
a83,1,1
a91,1,1
a93,1,1
a95,1,1
a99,1,1
a16,1,1
a24,1,1
a27,1,1
a39,1,1
a38,1,1
a44,1,1
a46,1,1
a48,1,1
a6,1,1
a72,1,1
a92,1,1
a33,1,1
a57,1,1
a58,1,1
a63,1,1
a66,1,1
a67,1,1
a3,1,1
c,1,1
a41,1,1
a18,1,1
a19,1,1
a97,1,1
a22,1,1
